Domain,RT,FR,CR,OR
10,1.8589,0.71,0.0676,0.00435
20,2.2495,0.528,0.0907,0.00656
30,2.7494,0.471,0.102,0.00745
40,3.3273,0.455,0.105,0.00743
50,3.7023,0.435,0.11,0.00849
60,4.2021,0.424,0.113,0.00806
70,4.7489,0.42,0.114,0.0074
80,5.1863,0.41,0.117,0.00778
90,5.6549,0.405,0.118,0.00794
100,6.1392,0.402,0.119,0.00778
