Domain,RT,FR,CR,OR
1,3.8897,0.871,0.0447,1.06e-005
10,3.4992,0.761,0.0512,3.46e-005
50,2.9212,0.587,0.0663,0.00222
100,2.6869,0.497,0.0779,0.00699
500,2.2807,0.367,0.103,0.034
1000,2.2495,0.353,0.106,0.0424
5000,2.2339,0.35,0.106,0.0513
