Domain,RT,FR,CR,OR
0.001,1.4651,0.413,0.0203,1.82e-005
0.01,1.2527,0.348,0.024,0.000276
0.1,1.0023,0.251,0.033,0.00843
1,0.91954,0.212,0.0382,0.0334
10,0.92154,0.21,0.0384,0.0376
