Domain,RT,FR,CR,OR
$9\times16$,2.2807,0.528,0.0907,0.00656
$18\times32$,7.3264,0.407,0.117,0.0164
$36\times64$,27.431,0.366,0.129,0.0241
$72\times128$,118.13,0.352,0.133,0.0281
