Domain,RT,FR,CR,OR
10,2.0774,0.713,0.0695,0.0541
20,2.3836,0.428,0.111,0.0964
30,2.5063,0.309,0.146,0.136
40,2.5542,0.249,0.175,0.17
50,2.6609,0.207,0.202,0.203
