Domain,RT,FR,CR,OR
1,3.421,0.897,0.0538,1.02e-005
10,3.1399,0.807,0.0598,5.6e-005
50,2.64,0.643,0.0748,0.0021
100,2.2963,0.528,0.0907,0.00656
500,1.9058,0.355,0.13,0.0416
1000,1.8745,0.335,0.136,0.0542
5000,1.8745,0.329,0.137,0.068
