Domain,RT,FR,CR,OR
0.001,3.093,0.89,0.0644,8.9e-006
0.01,3.1086,0.899,0.0637,1.28e-005
0.1,3.1711,0.886,0.0647,1.52e-005
1,3.0462,0.859,0.0667,1.24e-005
10,2.8587,0.783,0.0732,6.44e-005
