Domain,RT,FR,CR,OR
10,1.937,0.908,0.0631,9.67e-005
20,2.765,0.735,0.078,0.000108
30,3.3898,0.672,0.0852,0.000131
40,4.0615,0.646,0.0886,0.000113
50,4.7645,0.614,0.0934,0.00015
