Domain,RT,FR,CR,OR
$9\times16$,1.3122,0.376,0.0222,0.000327
$18\times32$,4.0928,0.276,0.0302,0.00243
$36\times64$,16.09,0.247,0.0336,0.00622
$72\times128$,63.47,0.23,0.036,0.00997
