Domain,RT,FR,CR,OR
$9	imes16$,2.2919,0.35,0.106,0.0469
$18	imes32$,8.4404,0.351,0.107,0.0383
$36	imes64$,33.181,0.362,0.105,0.0263
$72	imes128$,156.16,0.408,0.0944,0.0107
