Domain,RT,FR,CR,OR
$9\times16$,2.765,0.735,0.078,0.000108
$18\times32$,8.5917,0.592,0.0967,0.000728
$36\times64$,32.164,0.527,0.108,0.00224
$72\times128$,140.44,0.506,0.113,0.00326
