Domain,RT,FR,CR,OR
1,4.5771,1.34,0.0392,5.43e-005
10,4.2959,1.23,0.0426,7.95e-005
50,3.8089,1.04,0.0504,0.00116
100,3.4055,0.885,0.0589,0.00521
500,2.3901,0.49,0.0999,0.0681
1000,2.2807,0.435,0.109,0.0976
5000,2.2651,0.428,0.11,0.104
