Domain,RT,FR,CR,OR
10,0.92166,0.462,0.0181,0.000244
20,1.2966,0.376,0.0222,0.000327
30,1.5309,0.347,0.0241,0.000566
40,1.8746,0.321,0.026,0.000439
50,2.1089,0.313,0.0267,0.000365
