Domain,RT,FR,CR,OR
10,2.4213,0.869,0.0448,0.000118
20,3.2961,0.711,0.0548,0.000338
30,4.1709,0.639,0.0609,0.000294
40,4.8582,0.598,0.0651,0.000279
50,5.6393,0.582,0.067,0.000321
