Domain,RT,FR,CR,OR
$9\times16$,2.2807,0.558,0.102,0.00469
$18\times32$,7.467,0.461,0.123,0.0125
$36\times64$,27.79,0.428,0.131,0.0188
$72\times128$,121.28,0.415,0.135,0.0227
