Domain,RT,FR,CR,OR
10,0.87477,0.363,0.0228,0.00772
20,1.0623,0.271,0.0306,0.00818
30,1.2185,0.238,0.0348,0.00929
40,1.4684,0.216,0.0382,0.0103
50,1.6402,0.206,0.0403,0.00863
60,1.734,0.198,0.0418,0.0113
70,2.0776,0.194,0.0427,0.0112
80,2.2182,0.191,0.0432,0.0111
90,2.4369,0.189,0.0437,0.0116
100,2.4994,0.183,0.0451,0.0119
