Domain,RT,FR,CR,OR
10,2.1714,0.689,0.0563,0.0049
20,2.6556,0.497,0.0779,0.00699
30,3.1555,0.429,0.0902,0.00855
40,3.6242,0.402,0.0961,0.00863
50,4.0459,0.377,0.102,0.0102
60,4.6395,0.374,0.103,0.00954
70,5.0769,0.36,0.107,0.0088
80,5.4206,0.355,0.109,0.00954
90,6.0611,0.354,0.109,0.00891
100,6.6859,0.348,0.111,0.00864
