Domain,RT,FR,CR,OR
1,3.1399,0.859,0.0667,1.24e-005
10,2.8743,0.783,0.0732,6.44e-005
50,2.4994,0.65,0.0881,0.00083
100,2.2807,0.558,0.102,0.00469
500,1.8902,0.397,0.138,0.0422
1000,1.8121,0.372,0.145,0.0625
5000,1.8121,0.366,0.145,0.0732
