Domain,RT,FR,CR,OR
$9\times16$,1.9214,0.405,0.137,0.0308
$18\times32$,6.9984,0.403,0.138,0.0303
$36\times64$,28.415,0.402,0.138,0.0287
$72\times128$,119.57,0.402,0.138,0.0281
