Domain,RT,FR,CR,OR
$9\times16$,2.312,0.456,0.107,0.0723
$18\times32$,8.5449,0.46,0.107,0.0647
$36\times64$,32.649,0.459,0.107,0.0639
$72\times128$,135.67,0.461,0.107,0.0624
