Domain,RT,FR,CR,OR
10,2.062,0.726,0.0691,0.0427
20,2.312,0.456,0.107,0.0723
30,2.515,0.351,0.135,0.0953
40,2.7337,0.303,0.154,0.113
50,2.9212,0.279,0.166,0.12
60,3.1868,0.263,0.175,0.126
70,3.3117,0.243,0.187,0.135
80,3.4679,0.24,0.189,0.137
90,3.8585,0.232,0.195,0.14
100,4.0772,0.232,0.195,0.139
