Domain,RT,FR,CR,OR
10,0.78107,0.331,0.0247,0.0218
20,0.90602,0.21,0.0384,0.0376
30,0.95288,0.16,0.0495,0.0523
40,1.0466,0.132,0.0595,0.0612
50,1.1091,0.114,0.0684,0.0715
60,1.0779,0.0964,0.0793,0.0884
70,1.156,0.0895,0.0846,0.0978
80,1.1404,0.0834,0.0899,0.108
90,1.1872,0.0802,0.0931,0.11
100,1.2185,0.0721,0.103,0.119
