Domain,RT,FR,CR,OR
1,3.2024,0.656,0.0594,0.000184
10,2.5307,0.457,0.0847,0.00626
50,2.2963,0.372,0.102,0.0253
100,2.2651,0.358,0.105,0.033
500,2.2339,0.351,0.106,0.0433
1000,2.2495,0.351,0.106,0.0443
5000,2.2339,0.35,0.106,0.0466
