Domain,RT,FR,CR,OR
10,1.7183,0.581,0.0813,0.0205
20,1.8745,0.344,0.135,0.0377
30,1.9683,0.262,0.175,0.0519
40,2.1089,0.218,0.208,0.0649
50,2.1557,0.192,0.232,0.0758
60,2.312,0.175,0.253,0.085
70,2.4682,0.164,0.268,0.089
80,2.5307,0.152,0.287,0.101
90,2.5619,0.148,0.293,0.103
100,2.7337,0.151,0.29,0.0989
