Domain,RT,FR,CR,OR
1,2.7025,0.702,0.0816,7.99e-005
10,2.2182,0.55,0.104,0.00268
50,1.9683,0.437,0.129,0.0186
100,1.9058,0.405,0.137,0.0308
500,1.7965,0.367,0.146,0.0633
1000,1.8277,0.366,0.146,0.068
5000,1.8277,0.366,0.146,0.0684
