Domain,RT,FR,CR,OR
$9\times16$,1.9058,0.344,0.135,0.0377
$18\times32$,6.9515,0.346,0.135,0.0337
$36\times64$,27.103,0.344,0.136,0.0324
$72\times128$,117.89,0.344,0.136,0.032
