Domain,RT,FR,CR,OR
1,2.8118,0.717,0.0672,7.09e-005
10,2.2182,0.5,0.0961,0.00517
50,1.9214,0.369,0.127,0.0261
100,1.8902,0.344,0.135,0.0377
500,1.8589,0.331,0.138,0.0538
1000,1.8589,0.329,0.138,0.0598
5000,1.8589,0.329,0.138,0.0616
