Domain,RT,FR,CR,OR
1,1.2809,0.321,0.026,0.000846
10,0.9685,0.239,0.0345,0.0122
50,0.92163,0.213,0.038,0.0314
100,0.90604,0.21,0.0384,0.0376
500,0.90604,0.21,0.0384,0.0373
1000,0.90604,0.21,0.0384,0.0375
5000,0.89042,0.21,0.0384,0.0364
