Domain,RT,FR,CR,OR
$9\times16$,0.90604,0.21,0.0384,0.0376
$18\times32$,3.7023,0.21,0.0385,0.0299
$36\times64$,14.543,0.212,0.0384,0.0274
$72\times128$,60.189,0.212,0.0385,0.0259
