Domain,RT,FR,CR,OR
10,1.7027,0.617,0.091,0.0201
20,1.9214,0.405,0.137,0.0308
30,2.0933,0.315,0.174,0.0441
40,2.2495,0.278,0.196,0.0507
50,2.4369,0.245,0.221,0.0557
60,2.64,0.241,0.225,0.056
70,2.8743,0.223,0.242,0.0604
80,3.0774,0.22,0.245,0.0622
90,3.2024,0.214,0.252,0.0637
100,3.3898,0.205,0.261,0.0668
