Domain,RT,FR,CR,OR
10,2.0308,0.597,0.0641,0.0189
20,2.2651,0.358,0.105,0.033
30,2.4213,0.267,0.14,0.045
40,2.515,0.22,0.168,0.0566
50,2.6244,0.193,0.189,0.066
60,2.7494,0.164,0.219,0.0817
70,2.8431,0.15,0.237,0.0908
80,2.89,0.139,0.254,0.0973
90,3.0305,0.134,0.262,0.106
100,3.1711,0.131,0.268,0.101
