Domain,RT,FR,CR,OR
1,3.8897,1.11,0.0474,0.000164
10,3.0149,0.777,0.067,0.00597
50,2.4369,0.526,0.0953,0.0432
100,2.2807,0.456,0.107,0.0723
500,2.2495,0.429,0.111,0.0964
1000,2.2338,0.428,0.111,0.0964
5000,2.2339,0.428,0.111,0.0963
