Domain,RT,FR,CR,OR
$9\times16$,2.2963,0.358,0.105,0.033
$18\times32$,8.3262,0.359,0.105,0.0301
$36\times64$,32.633,0.36,0.105,0.0288
$72\times128$,144.45,0.36,0.105,0.0283
